anomaly_name,anomaly_description,production_line,equipment,part,cause_chain,cause_descriptions,solution_name
贴片机供料站拥堵,贴片机#2供料站集中在单侧，导致物料补充时操作员拥堵,SMT线1,贴片机Mounter-02;供料站Feeder-06,元件料盘,供料站布局不合理>操作空间不足>拥堵,供料站集中在设备单侧>操作员补充物料时相互干扰>换料时间增加1分钟,分散供料站布局;增加操作空间
回流焊入口传送带偏移,回流焊#1入口传送带与贴片机出口传送带错位，导致PCB板卡板,SMT线1,回流焊Reflow-01;传送带Conveyor-02,PCB板,设备布局偏差>传送带错位>卡板,回流焊与贴片机安装偏差>传送带错位2mm>PCB板卡板率0.5%,校准传送带位置;增加导向装置
物料暂存区布局分散,SMT线物料暂存区分散在3处，导致操作员取料路径重复,SMT线1,物料暂存架;供料站Feeder-02,元件料盘,物料布局冗余>取料路径重复>效率下降,暂存区分散在3处>操作员取料需往返>单次取料耗时增加2分钟,合并物料暂存区;规划集中取料点
贴片机与SPI检测仪间距远,贴片机#1与SPI检测仪间距超4米，PCB板传输导致焊膏塌陷,SMT线1,贴片机Mounter-01;SPI检测仪,焊膏;PCB板,工序布局不合理>传输距离长>焊膏塌陷,间距超4米>PCB板传输耗时增加>焊膏塌陷率增加1.2%,缩短贴片机与SPI检测仪间距;增加传输带支撑
AGV充电区布局不合理,AGV充电区位于产线末端，空车返回耗时增加导致配送延迟,SMT线1,AGV小车;充电柜,无,物流布局不合理>空车路径长>配送延迟,充电区位于产线末端>空车返回充电耗时增加5分钟>配送效率下降8%,增设就近充电点;优化充电调度
贴片机编程工位与设备远,贴片机编程工位与设备间距超5米，调试时往返耗时增加,SMT线1,编程电脑;贴片机Mounter-04,无,工位布局不合理>调试路径长>效率下降,编程工位与设备间距超5米>工程师调试需往返>单次调试耗时增加3分钟,增设就近编程工位;采用无线调试终端
废弃元件回收路线长,废弃元件回收箱位于产线出口，操作员需绕行10米导致清理延迟,SMT线1,回收箱;贴片机Mounter-02,废弃元件,物流布局不合理>回收路径长>清理延迟,回收箱位于产线出口>操作员清理需绕行>单次清理耗时增加2分钟,增设就近回收点;优化回收路线
回流焊冷却区不足,回流焊#3冷却区长度仅2米，PCB板降温不足导致后续贴装不良,SMT线1,回流焊Reflow-03;冷却风扇,PCB板,设备布局不合理>冷却区不足>温降不足,冷却区长度仅2米>PCB板出口温度仍达60℃>后续贴装元件偏移率增加0.8%,延长冷却区;增加冷却风扇数量
供料站料盘更换路线交叉,供料站料盘更换路线与PCB板传输路线交叉，导致换料时停机,SMT线1,供料站Feeder-04;传送带Conveyor-03,元件料盘;PCB板,物流路线规划冗余>通道交叉>换料停机,换料路线与传输带交叉>换料时需停机>单次停机时间增加1分钟,调整换料路线;设置换料专用通道
SMT线末端缓存不足,SMT线末端缓存区仅能存放10块PCB板，导致向3C组装线供料中断,SMT线1,缓存传送带;AGV小车,PCB板,工位布局不合理>缓存容量不足>供料中断,缓存区长度仅2米>最多存放10块PCB板>供料中断率5%,延长缓存传送带;增加缓存容量
层压机与曝光机间距远,层压机#1与曝光机#2间距超8米，PCB板传输导致温降影响曝光精度,PCB线1,层压机Laminator-01;曝光机Exposer-02,PCB板;光阻层,工序布局不合理>传输距离长>温降影响精度,间距超8米>PCB板传输耗时增加>温度降低5℃>曝光精度偏差±2微米,缩短层压机与曝光机间距;增加保温传输带
蚀刻机与显影机布局不合理,蚀刻机#1与显影机#1间距超5米，PCB板传输导致显影液干燥,PCB线1,蚀刻机Etcher-01;显影机Developer-01,PCB板;显影液,工序布局不合理>传输距离长>显影液干燥,间距超5米>PCB板传输耗时增加>显影液干燥导致蚀刻不均,缩短蚀刻机与显影机间距;增加喷淋保湿
钻孔房设备布局过密,钻孔机#1与#2间距不足1.2米，粉尘扩散导致设备污染,PCB线1,钻孔机Driller-01;钻孔机Driller-02,PCB板;钻头,设备布局过密>粉尘扩散>设备污染,间距不足1.2米>钻孔粉尘扩散>设备内部积尘>钻头磨损率增加10%,调整钻孔机间距;增加局部除尘
电镀线与清洗机路线交叉,电镀线#2物料配送路线与清洗机#1路线交叉，导致AGV等待,PCB线1,电镀机Plater-02;清洗机Cleaner-01,PCB板;物料箱,物流路线规划冗余>通道交叉>配送延迟,多路线共用同一通道>AGV小车等待时间增加10秒/次,重新规划配送路径;划分专属通道
曝光机与显影机节拍失衡,曝光机节拍为15秒/板，显影机为20秒/板，导致物料堆积,PCB线1,曝光机Exposer-01;显影机Developer-02,PCB板;光阻层,工位节拍不平衡>效率不匹配>物料堆积,曝光机节拍15秒>显影机20秒>缓存区物料堆积超15块,增加显影机工位;优化显影参数
层压机缓存区不足,层压机#1入口缓存区仅能存放6块PCB板，导致曝光机等待,PCB线1,层压机Laminator-01;缓存传送带,PCB板,工位布局不合理>缓存容量不足>工序等待,缓存区长度仅1.5米>最多存放6块PCB板>曝光机等待率8%,延长缓存传送带;增加缓存容量
蚀刻机废液回收路线长,蚀刻机#2废液回收罐位于产线末端，输送管道长导致残留,PCB线1,蚀刻机Etcher-02;回收罐,蚀刻液,物流布局不合理>回收路径长>废液残留,管道长度超20米>废液残留量达5L/次>回收效率下降5%,增设就近回收罐;优化管道布局
电镀线挂具更换路线远,电镀线#1挂具更换区位于设备后方，操作员往返耗时增加,PCB线1,电镀机Plater-01;挂具存放架,电镀挂具,设备布局不合理>操作路径长>换具延迟,挂具区位于设备后方>操作员往返耗时增加2分钟>换具延迟导致停机3分钟/次,调整挂具区至设备侧面;增加自动换具功能
钻孔机与去毛刺机间距远,钻孔机#3与去毛刺机#1间距超6米，PCB板传输导致毛刺掉落,PCB线1,钻孔机Driller-03;去毛刺机Deburr-01,PCB板;钻头,工序布局不合理>传输距离长>毛刺掉落,间距超6米>PCB板传输时毛刺掉落>后续工序不良率增加0.6%,缩短钻孔机与去毛刺机间距;增加吸尘装置
曝光机防尘布局不足,曝光机#3与钻孔房间距不足3米，粉尘扩散导致曝光异物,PCB线1,曝光机Exposer-03;钻孔机Driller-02,PCB板;光阻层,设备布局过近>粉尘扩散>曝光缺陷,间距不足3米>钻孔粉尘扩散至曝光机>异物遮挡导致缺陷率0.5%,增加防尘隔离罩;前置除尘工位
层压机加热板布局不均,层压机#2加热板布局不均，导致PCB板层压温度偏差±6℃,PCB线1,层压机Laminator-02;加热板,多层PCB板,设备布局不合理>温度不均>层压不良,加热板布局呈单侧集中>板内温度偏差±6℃>爆板率增加1.2%,优化加热板布局;增加温度传感器
电镀线电流分布不均,电镀线#3挂具布局不对称，导致PCB板铜层厚度偏差±9微米,PCB线1,电镀机Plater-03;电镀挂具,PCB铜层,设备布局不合理>电流不均>厚度偏差,挂具布局不对称>电流在板面上分布不均>铜层厚度偏差±9微米,调整挂具布局;校准电流分布
显影机与蚀刻机缓存不足,显影机#2与蚀刻机#1之间缓存区仅能存放8块PCB板，导致显影机等待,PCB线1,显影机Developer-02;蚀刻机Etcher-01,PCB板,工位布局不合理>缓存容量不足>工序等待,缓存区长度仅1.8米>最多存放8块PCB板>显影机等待率6%,延长缓存传送带;增加缓存容量
钻孔机刀库布局不合理,钻孔机#1刀库位于设备左侧，操作员换刀需绕行,PCB线1,钻孔机Driller-01;刀库,钻头,设备布局不合理>换刀路径长>效率下降,刀库位于左侧>操作员换刀需绕行>单次换刀耗时增加1分钟,调整刀库至设备正面;增加自动换刀功能
电镀线与烘干线间距远,电镀线#1与烘干线#2间距超7米，PCB板传输导致水分残留,PCB线1,电镀机Plater-01;烘干线Dryer-02,PCB板;铜层,工序布局不合理>传输距离长>水分残留,间距超7米>PCB板传输耗时增加>水分残留导致铜层氧化,缩短电镀线与烘干线间距;增加风刀吹干
曝光机与检测工位路线交叉,曝光机#1物料配送路线与AOI检测工位路线交叉，导致AGV等待,PCB线1,曝光机Exposer-01;AOI检测仪,PCB板;物料箱,物流路线规划冗余>通道交叉>配送延迟,多路线共用同一通道>AGV小车等待时间增加12秒/次,重新规划配送路径;划分专属通道
层压机与存储区布局不合理,层压机#3与PCB存储区间距超10米，转运耗时增加导致温降,PCB线1,层压机Laminator-03;存储架,多层PCB板,物料布局不合理>转运路径长>温降影响,间距超10米>转运耗时增加>PCB板温度降低8℃>后续工序不良率增加0.7%,增设就近存储区;优化转运路线
蚀刻机与废水处理路线长,蚀刻机#1废水处理管道长超15米，残留导致管道堵塞,PCB线1,蚀刻机Etcher-01;废水处理罐,蚀刻液,物流布局不合理>处理路径长>管道堵塞,管道长度超15米>废液残留>管道堵塞率3%/月,增设就近处理罐;优化管道坡度
显影机药剂更换路线远,显影机#1药剂更换区位于产线出口，操作员往返耗时增加,PCB线1,显影机Developer-01;药剂存储柜,显影液,物料布局不合理>换剂路径长>效率下降,存储柜位于出口>操作员往返耗时增加3分钟>换剂延迟导致停机4分钟/次,增设就近药剂缓存区;优化换剂流程
PCB线末端供料缓存不足,PCB线末端缓存区仅能存放12块PCB板，导致向SMT线供料中断,PCB线1,缓存传送带;AGV小车,PCB板,工位布局不合理>缓存容量不足>供料中断,缓存区长度仅2.2米>最多存放12块PCB板>供料中断率4%,延长缓存传送带;增加缓存容量
工站瓶颈堆积,组装线工站#5锁螺丝节拍慢，WIP数量超过50件，造成物料拥堵,3C组装线2,锁螺丝机Screwer-02;传送带Conveyor-05,外壳组件;螺丝,工位节拍不平衡>物料流入过快>工站堆积,锁螺丝机作业时间35秒，前后工站仅20秒>物料持续流入>堆积超过50件,拆分作业至相邻工站;调整传送带速度
AGV小车路径死锁,AGV小车#8路径死锁，等待时间120秒,3C组装线2,AGV小车AGV-08,物料箱,物流路线冗余>通道交叉>死锁等待,多台AGV路线规划重叠>同时占用同一段通道>导致死锁，等待时间120秒,重新规划AGV路径;设置通道优先级
锁螺丝机节拍不匹配,锁螺丝机#2节拍不匹配，作业时间35秒,3C组装线2,锁螺丝机Screwer-02,螺丝,设备布局不合理>物料传输等待>节拍脱节,锁螺丝机与上下游设备间距过远>物料传输耗时增加>作业时间35秒，与前后工站节拍不匹配,对调锁螺丝机与检测工站位置;调整传送带速度
返修通道逆向传输,返修通道#1逆向传输，碰撞风险等级高,3C组装线2,返修通道Conveyor-07,不良品组件,路线设计不合理>逆向传输>碰撞风险,返修通道与主生产线物流路线交叉>逆向传输时易与正向物料碰撞>风险等级高,调整返修通道流向;设置物理隔离
工站布局过密,组装线工站#3与#4间距不足0.6米，操作员转身碰撞风险增加,3C组装线2,装配工站;传送带Conveyor-03,主板组件;外壳,设备布局过密>操作空间不足>碰撞风险,间距不足0.6米>操作员转身时易碰撞>操作效率下降5%,调整工站间距;增加操作空间
物料暂存区与工站远,物料暂存区与工站#6间距超8米，操作员取料耗时增加,3C组装线2,物料暂存架;装配工站,电池组件;螺丝,物料布局不合理>取料路径长>效率下降,暂存区与工站间距超8米>操作员往返耗时增加2分钟>单次取料耗时增加,增设就近物料缓存区;优化取料路线
检测工位与包装线间距远,AOI检测工位与包装线间距超10米，成品传输耗时增加,3C组装线2,AOI检测仪;包装机Packer-01,成品;包装盒,工序布局不合理>传输距离长>效率下降,间距超10米>成品传输耗时增加3分钟>包装线等待率7%,缩短检测工位与包装线间距;增加快速传输带
锁螺丝机与供料站远,锁螺丝机#3与螺丝供料站间距超4米，物料传输等待增加,3C组装线2,锁螺丝机Screwer-03;供料站Feeder-08,螺丝,设备布局不合理>传输路径长>等待时间增加,间距超4米>螺丝传输耗时增加0.5秒/次>锁螺丝机等待率4%,调整供料站至锁螺丝机旁;增加自动供料装置
组装线末端缓存不足,组装线末端缓存区仅能存放15台成品，导致包装线供料中断,3C组装线2,缓存传送带;包装机Packer-02,成品,工位布局不合理>缓存容量不足>供料中断,缓存区长度仅2.5米>最多存放15台成品>包装线供料中断率6%,延长缓存传送带;增加缓存容量
AGV充电区布局不合理,AGV充电区位于产线入口，空车返回耗时增加导致配送延迟,3C组装线2,AGV小车;充电柜,无,物流布局不合理>空车路径长>配送延迟,充电区位于入口>空车返回充电耗时增加4分钟>配送效率下降7%,增设就近充电点;优化充电调度
工站物料配送路线交叉,工站#2与#5物料配送路线交叉，导致AGV等待时间增加,3C组装线2,AGV小车;物料暂存架,主板组件;屏幕,物流路线规划冗余>通道交叉>配送延迟,多路线共用同一通道>AGV小车等待时间增加10秒/次,重新规划配送路径;划分专属通道
包装线与存储区布局远,包装线#1与成品存储区间距超12米，转运耗时增加,3C组装线2,包装机Packer-01;存储架,成品箱,物料布局不合理>转运路径长>效率下降,间距超12米>转运耗时增加3分钟>存储效率下降5%,增设就近存储区;优化转运路线
工站节拍失衡,组装线工站#1节拍为18秒/台，工站#7为25秒/台，导致物料堆积,3C组装线2,装配工站;传送带Conveyor-07,成品,工位节拍不平衡>效率不匹配>物料堆积,工站#1节拍18秒>工站#7为25秒>缓存区物料堆积超30台,拆分工站#7作业;增加辅助工站
返修区与主产线布局不合理,返修区位于产线末端，不良品返回耗时增加,3C组装线2,返修工站;传送带Conveyor-09,不良品组件,工位布局不合理>返回路径长>返修延迟,返修区位于末端>不良品返回耗时增加5分钟>返修效率下降8%,增设就近返修区;优化返回路线
螺丝供料站布局分散,螺丝供料站分散在3处，操作员补充物料时路径重复,3C组装线2,供料站Feeder-06;锁螺丝机Screwer-04,螺丝,物料布局冗余>取料路径重复>效率下降,供料站分散在3处>操作员补充物料需往返>单次换料耗时增加1.5分钟,合并供料站布局;规划集中换料点
工站与设备调试区远,工站#4与设备调试区间距超6米，工程师调试时往返耗时增加,3C组装线2,装配工站;调试电脑,无,工位布局不合理>调试路径长>效率下降,间距超6米>工程师调试需往返>单次调试耗时增加2分钟,增设就近调试工位;采用无线调试终端
成品包装路线与物流路线交叉,包装线#2成品输出路线与AGV物流路线交叉，导致等待,3C组装线2,包装机Packer-02;AGV小车,成品箱;物料箱,物流路线规划冗余>通道交叉>等待时间增加,多路线共用同一通道>等待时间增加8秒/次,调整包装线输出方向;划分专属通道
电池装配工站与供料站远,电池装配工站#3与电池供料站间距超5米，物料传输耗时增加,3C组装线2,装配工站;供料站Feeder-09,电池组件,设备布局不合理>传输路径长>效率下降,间距超5米>电池传输耗时增加0.8秒/台>装配效率下降4%,调整供料站至工站旁;增加自动供料装置
组装线入口缓存不足,组装线入口缓存区仅能存放10块PCB板，导致SMT线供料等待,3C组装线2,缓存传送带;AGV小车,PCB板,工位布局不合理>缓存容量不足>供料等待,缓存区长度仅1.8米>最多存放10块PCB板>SMT线供料等待率5%,延长缓存传送带;增加缓存容量
工站操作员动线交叉,组装线工站#2与#3操作员动线交叉，导致操作干扰,3C组装线2,装配工站;传送带Conveyor-02,屏幕组件;外壳,工位布局不合理>动线交叉>操作干扰,操作员动线交叉>相互碰撞风险增加>操作效率下降3%,调整工站布局;规划独立动线
